,DATE,TMAX,TMIN,PRCP,AWND,TAVG,DISCOVERY_TIME,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,MONTH,DAY_OF_WEEK,IS_WILDFIRE
0,1998-04-01,13.3,3.9,3.8,2.5,8.9,,,25.10436152954805,,4,Wednesday,False
1,1998-04-02,16.7,5.6,0.0,1.2,11.1,,,25.10436152954805,,4,Thursday,False
2,1998-04-03,17.2,5.0,2.0,2.1,11.1,,,25.10436152954805,,4,Friday,False
3,1998-04-04,14.4,2.8,0.0,1.3,8.9,,,25.10436152954805,,4,Saturday,False
4,1998-04-05,18.3,5.6,0.0,2.1,12.2,1.0,Railroad,0.1,A,4,Sunday,True
5,1998-04-06,17.8,7.2,0.3,3.0,12.8,,,25.10436152954805,,4,Monday,False
6,1998-04-07,18.3,9.4,0.0,2.4,13.9,,,25.10436152954805,,4,Tuesday,False
7,1998-04-08,20.0,4.4,0.0,2.1,12.2,,,25.10436152954805,,4,Wednesday,False
8,1998-04-09,22.8,5.6,0.0,1.6,14.4,,Miscellaneous,0.1,A,4,Thursday,True
9,1998-04-10,23.3,6.1,0.0,1.7,15.0,,,25.10436152954805,,4,Friday,False
10,1998-04-11,17.8,6.7,4.1,2.3,12.2,,,25.10436152954805,,4,Saturday,False
11,1998-04-12,18.3,7.2,0.0,2.7,12.8,,,25.10436152954805,,4,Sunday,False
12,1998-04-13,15.0,4.4,0.5,2.0,10.0,,,25.10436152954805,,4,Monday,False
13,1998-04-14,17.2,6.1,1.3,3.0,11.7,,,25.10436152954805,,4,Tuesday,False
14,1998-04-15,17.8,4.4,0.0,2.6,11.1,,,25.10436152954805,,4,Wednesday,False
15,1998-04-16,20.6,2.8,0.0,2.1,11.7,,,25.10436152954805,,4,Thursday,False
16,1998-04-17,25.0,3.3,0.0,2.4,14.4,1723.0,Miscellaneous,0.1,A,4,Friday,True
17,1998-04-18,27.8,5.6,0.0,2.1,16.7,1638.0,Equipment Use,0.1,A,4,Saturday,True
18,1998-04-19,28.9,7.2,0.0,1.7,18.3,,,25.10436152954805,,4,Sunday,False
19,1998-04-20,33.3,8.3,0.0,1.4,21.1,1426.0,Children,0.1,A,4,Monday,True
20,1998-04-21,35.0,12.2,0.0,1.9,23.9,1756.0,Miscellaneous,0.1,A,4,Tuesday,True
21,1998-04-22,27.8,10.0,0.0,2.7,18.9,,,25.10436152954805,,4,Wednesday,False
22,1998-04-23,20.6,11.7,0.0,3.2,16.1,,Miscellaneous,0.1,A,4,Thursday,True
23,1998-04-24,21.7,10.0,0.0,2.4,16.1,,Miscellaneous,0.1,A,4,Friday,True
24,1998-04-25,22.2,10.6,0.0,2.0,16.7,,Miscellaneous,0.2,A,4,Saturday,True
25,1998-04-26,26.7,6.7,0.0,2.7,16.7,1610.0,Children,0.1,A,4,Sunday,True
26,1998-07-19,33.3,18.9,0.0,2.7,26.1,,Miscellaneous,0.5,B,7,Sunday,True
27,1998-07-20,32.8,17.8,0.0,2.1,25.6,1250.0,Equipment Use,0.1,A,7,Monday,True
28,1998-07-21,33.3,17.8,0.0,2.4,25.6,,Equipment Use,0.5,B,7,Tuesday,True
29,1998-07-22,30.6,19.4,0.0,3.0,25.0,,Equipment Use,0.1,A,7,Wednesday,True
30,1998-07-23,30.6,17.2,0.0,2.8,23.9,,Children,0.1,A,7,Thursday,True
31,1998-07-24,31.1,17.2,0.0,2.2,24.4,1224.0,Smoking,0.2,A,7,Friday,True
32,1998-07-25,35.0,16.1,0.0,1.8,25.6,1227.0,Equipment Use,0.1,A,7,Saturday,True
33,1998-07-26,40.0,17.2,0.0,1.6,28.9,1635.0,Children,0.1,A,7,Sunday,True
34,1998-07-27,40.0,18.3,0.0,2.0,29.4,,Smoking,0.1,A,7,Monday,True
35,1998-07-28,40.0,20.0,0.0,2.5,30.0,2238.0,Equipment Use,0.1,A,7,Tuesday,True
36,1998-07-29,33.3,18.3,0.0,2.5,26.1,,Smoking,4.0,B,7,Wednesday,True
37,1998-07-30,31.1,16.7,0.0,2.8,23.9,,Children,1.0,B,7,Thursday,True
38,1998-07-31,32.8,14.4,0.0,1.8,23.9,1008.0,Miscellaneous,0.1,A,7,Friday,True
39,1998-08-01,36.7,14.4,0.0,1.7,25.6,753.0,Campfire,0.1,A,8,Saturday,True
40,1998-08-02,39.4,15.6,0.0,2.1,27.8,,Equipment Use,0.1,A,8,Sunday,True
41,1998-08-05,37.2,18.3,0.0,2.6,27.8,,Miscellaneous,0.1,A,8,Wednesday,True
42,1998-08-06,34.4,17.2,0.0,2.5,26.1,,Miscellaneous,0.1,A,8,Thursday,True
43,1998-08-07,36.1,18.3,0.0,2.5,27.2,,Miscellaneous,0.1,A,8,Friday,True
44,1998-08-08,40.0,16.7,0.0,2.1,28.3,1754.0,Lightning,0.1,A,8,Saturday,True
45,1998-08-10,35.0,22.8,0.0,2.2,28.9,626.0,Lightning,0.1,A,8,Monday,True
46,1998-08-11,36.7,20.6,0.0,2.4,28.9,,Miscellaneous,1.0,B,8,Tuesday,True
47,1998-08-12,38.3,21.1,0.0,2.2,30.0,,Miscellaneous,0.1,A,8,Wednesday,True
48,1998-08-13,37.8,20.6,0.0,2.2,29.4,,Miscellaneous,1.0,B,8,Thursday,True
49,1998-08-14,39.4,20.0,0.0,2.7,30.0,1813.0,Miscellaneous,0.1,A,8,Friday,True
50,1998-08-15,33.9,19.4,0.0,2.8,26.7,1431.0,Equipment Use,0.1,A,8,Saturday,True
51,1998-08-16,32.8,18.9,0.0,2.5,26.1,,Campfire,8.0,B,8,Sunday,True
52,1998-08-17,30.0,17.8,0.0,2.5,23.9,,Equipment Use,0.5,B,8,Monday,True
53,1998-08-18,31.7,15.0,0.0,1.9,23.3,,Equipment Use,0.5,B,8,Tuesday,True
54,1998-08-19,32.2,13.3,0.0,2.0,22.8,,Miscellaneous,2.0,B,8,Wednesday,True
55,1998-08-20,33.9,13.9,0.0,1.8,23.9,,Children,0.5,B,8,Thursday,True
