MM/DD/YYYY,ID,YEAR,MONTH,DAY,TMAX,TMAX_FLAGS,TMIN,TMIN_FLAGS,PRCP,PRCP_FLAGS,SNWD,SNWD_FLAGS,AWND,AWND_FLAGS,FMTM,FMTM_FLAGS,PGTM,PGTM_FLAGS,TAVG,TAVG_FLAGS,WDF2,WDF2_FLAGS,WDF5,WDF5_FLAGS,WSF2,WSF2_FLAGS,WSF5,WSF5_FLAGS,TSUN,TSUN_FLAGS,WT01,WT01_FLAGS,WT02,WT02_FLAGS,WT08,WT08_FLAGS,WT03,WT03_FLAGS,SNOW,SNOW_FLAGS,WT07,WT07_FLAGS
1998-04-01,USW00003171,1998,04,1,133.0,__W,39.0,__W,38.0,__W,nan,nan,25.0,__W,1434.0,__W,1439.0,__W,89.0,__W,250.0,__W,260.0,__W,72.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-02,USW00003171,1998,04,2,167.0,__W,56.0,__W,0.0,__W,nan,nan,12.0,__W,1634.0,__W,1634.0,__W,111.0,__W,290.0,__W,290.0,__W,45.0,__W,49.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-03,USW00003171,1998,04,3,172.0,__W,50.0,__W,20.0,__W,nan,nan,21.0,__W,1517.0,__W,1515.0,__W,111.0,__W,260.0,__W,280.0,__W,72.0,__W,98.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-04,USW00003171,1998,04,4,144.0,__W,28.0,__W,0.0,T_W,nan,nan,13.0,__W,1729.0,__W,1729.0,__W,89.0,__W,300.0,__W,290.0,__W,49.0,__W,63.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-05,USW00003171,1998,04,5,183.0,__W,56.0,__W,0.0,__W,nan,nan,21.0,__W,1623.0,__W,1623.0,__W,122.0,__W,240.0,__W,240.0,__W,72.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-06,USW00003171,1998,04,6,178.0,__W,72.0,__W,3.0,__W,nan,nan,30.0,__W,1445.0,__W,1401.0,__W,128.0,__W,230.0,__W,260.0,__W,89.0,__W,116.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-07,USW00003171,1998,04,7,183.0,__W,94.0,__W,0.0,T_W,nan,nan,24.0,__W,1305.0,__W,1411.0,__W,139.0,__W,270.0,__W,270.0,__W,72.0,__W,94.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-08,USW00003171,1998,04,8,200.0,__W,44.0,__W,0.0,__W,0.0,__W,21.0,__W,1456.0,__W,1431.0,__W,122.0,__W,290.0,__W,300.0,__W,67.0,__W,89.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-09,USW00003171,1998,04,9,228.0,__W,56.0,__W,0.0,__W,nan,nan,16.0,__W,1537.0,__W,1701.0,__W,144.0,__W,300.0,__W,270.0,__W,63.0,__W,76.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1998-04-10,USW00003171,1998,04,10,233.0,__W,61.0,__W,0.0,__W,nan,nan,17.0,__W,1436.0,__W,1531.0,__W,150.0,__W,290.0,__W,270.0,__W,67.0,__W,80.0,__W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
